id,run_id,damage_source,total_damage,total_kills
4d1f4ebc-7920-4c60-bd4d-2b3ba5e2ba70,1a01298c-1951-4c77-a8ee-89a3dddad435,aura,1422.3336,548
4d7214c3-fc51-443a-99ce-81cf8d16ab1e,bb33ae0e-0e76-43dc-8d46-8bc833341d89,aura,150.236349999996,37
4ecbd554-732b-47db-85f9-1435e743a2d0,6f5d4349-239d-44b8-98da-4828fdc75a5c,aura,20.125,1
4ffe2895-cf19-4264-84c8-f25366a7c5c7,3b58d74b-cc08-487e-9868-de651ad91a67,death_arrows,3095.35203391999,625
5048fa3c-c27f-438d-866b-37c06ca97348,b7927167-a7db-4e53-8ca9-c44109513a9c,death_arrows,808.768384500002,310
50513607-7e10-48e9-8386-62233d032d4f,8e67c14b-098a-4790-8301-ab832419230f,burn,651.889815999999,266
50c9919c-2804-4116-b64a-1238dc846cd8,7c364856-4292-498d-ab1a-e6d80a700e44,aura,151.32685,29
5147b357-e607-4bb1-8bfa-e5ac8ebbfd68,b7c48a10-1c42-43c1-bc58-ece266868745,arrow,2364.52423562219,654
5147de9f-f1ed-45d4-b31c-c530d798d321,1dce3196-e3f5-479c-9b38-f50703b0e15d,burn,12.22,6
51bef7ca-d4fb-4b5e-9cb4-19164206b3eb,9587088e-2b70-400c-959b-ed89dcdcc02a,arrow,1391.03011712963,390
522ea38f-7ab1-4a66-8d9f-6bb489f2168b,fb7c8cf5-1b21-4341-97b6-8afa63bbea89,burn,296.0022790625,70
52a3be5b-21e6-4843-904a-3dd531a2e9fe,547c202d-b1b3-4c60-99a5-8ea4b22b788b,arrow,1884.3044,522
5425de1c-d5cb-419a-9870-40933ae3ae62,c2df6f2d-07f9-4a83-8136-fc23784b3bfd,aura,218.0155,55
54a81faf-fe24-4e35-a7f7-da4718d41e66,2303b01f-fa08-4f77-bc3a-7a0d5f6d678b,death_arrows,62.31625,11
55219912-d0bb-4f75-b569-a6333f445485,e31732b1-438f-479a-8775-5b6ba5b93d43,aura,12.25,1
56091d78-4257-4193-8568-512710156867,4548f910-9a55-4100-961c-f382f4bb860c,death_arrows,1091.849585,326
563f3f68-c402-44be-bfd1-1843e23b7dd8,525e6543-d63d-4785-b687-fc62572801c7,death_arrows,4.41,0
5655968a-7548-4f0a-86b5-ad99625dde1f,cebb591f-f29d-4a40-a655-6e05d5f87ad2,aura,641.35515235,157
56cc22c8-c8df-4cc5-a89a-647868281337,0c5e03c1-121d-4c92-affb-7ee2298844f7,aura,205.2980064,72
57070f79-28f5-4bdc-8bea-e98642bd0644,866ae6ff-f11a-48a5-80c4-82cc30f73382,death_arrows,858.158800000002,236
572ae143-7e5a-4b2d-8721-c185f273389d,e7a3224f-83fb-4c12-8455-7055cd163174,death_arrows,962.65393939999,197
57a0f4ee-79d0-407e-9f26-b0aebe496e15,5301e41a-4687-4d81-abd5-9103dd9d50e5,aura,17.6,0
5885d827-68ed-4541-a09d-89a05c365811,55442d1a-09e9-40da-bd50-07067d06d202,aura,3.0,3
59fdee9f-015e-49fb-a34b-d35ad7863d1d,866ae6ff-f11a-48a5-80c4-82cc30f73382,burn,290.3852,59
5b83b420-189b-46f6-bc34-1856630cd4e0,8049f7ab-ed9a-40c6-ac11-bb00a01272eb,aura,1384.67717499995,370
5cac8d89-dcab-4a55-859d-7e96bd02f8c8,ceab0b07-b184-4685-b87a-c7114da64c24,death_arrows,1904.960297728,477
5cec67de-2b2d-4770-960d-2e8bae366c1b,fa29c145-da90-4e54-ab17-34b98261236e,aura,28.082117125,2
5d4261e3-acb7-4ef0-befb-a786d266749f,f09784ea-cb6a-4d4f-8b68-c36060821e1a,death_arrows,4259.9933804,1045
5d4d3ce2-96c0-4a3f-94a2-9f2876df6ee9,caf16c51-3c9d-4af3-a29b-57ac07f87506,aura,1029.5218,388
5d6337af-734a-4dee-b11d-8268fd6ae9cb,f71018c8-d3bc-48d5-a035-7382d9ac5e63,death_arrows,612.972000000001,135
5db1f9c7-e6b2-4c5c-a91f-e8c573920f22,3df9d1c6-fd5e-4041-ba8b-7a31b3d49eb4,aura,376.450000000005,85
